그
그거
그것
그곳
그분
그쪽
나
누구
당신
만약
무슨
무엇
뭐
어디
언제
여기
요고
이놈
이
이거
이것
이분
왜
우리
자기
제
저
저희
저이
저거
저기
조고
이것
그것
저것
이사람
그사람
저사람
이곳
그곳
저곳
여기
거기
저기
여기에
거기에
저기에
여기서
거기서
저기서
여기까지
거기까지
저기까지
이쪽
그쪽
저쪽
이정도
그정도
저정도
이정도로
그정도로
저정도로
이시간
그시간
저시간
요거
이거
저거
그거
이러
이게
그게
저게
이때
그때
저때
이번
저번
한때
하느님
하나님
여호
여호와
안녕
문제
얘기
사람
생각
느낌
초보자분
대략
뒷부분
확인차
다행
여러분
방법
진행
경우
사용
하심
대꾸
걸로
사유
이유
마련
미안
죄송
송구
엑스
와이
에이
이즈
에이엑스
우변
좌변
플러스
마이너스
케이
엑스값
왼쪽
위쪽
아래쪽
오른쪽
짜리
답답
깨끗
소중
애매
단단
꾸준
부지런
조급
섬세
뿌듯
빽빽
살짝
섭섭
어색
뻣뻣
각각
심각
훌륭
빠빠
솔직
이러한
그러한
저러한
이런
그런
저런
이만큼
그만큼
저만큼
요만큼
그동안
한동안
빠르게
천천히
확실히
그런데
그래서
한편
웬만
자주
매우
이미
아직
가끔
당연히
전혀
솔직히
항상
종종
아마
거의
너무
어느정도
보통
그때그때
당시
이후
평소
당장
결국
마지막
잠시
오늘날
이제
와우
우왕
우와
새끼
병신
지랄
개새끼
미친년
바보
개소리
아임
하우
레이션
게이션
언서
지PT
니버셜
스터
레스
블리
OK
오브
지원이
진아
혜원
예림
유미
준우
소희
조부장
김부장
지훈
수빈
재민
민수
민서
민경
동규
건우
소연
하윤
채원
예준
지은
은진
경민
현진
혜림
나영
혜미
승우
준서
지민
주영
민호
미란
은서
순이
혜리
윤호
승호
유경
동훈
상민
상면
소윤
은영
태희
재훈
혜삔
혜린
가영
찬희
정아
주환
민아
은성
수아
세경
규리
희진
다연
미나
세영
승훈
은비
민희
윤정
진희
은우
태우
지윤
광수
혜숙
유림
태준
명숙
용준
가은
세현
호동
윤경
현경
윤우
강민
동수
뭡니까
겁니다
듭니다
합니다
건데
내라
아드
